system,parameter,value,n_runs,ga_best_fitness_mean,ga_best_fitness_std,critic_score_mean,critic_score_std,novelty_dist_aist_mean,novelty_dist_aist_std,novelty_score_mean,novelty_score_std,target_dist_mean,target_dist_std,smoothness_mean,smoothness_std,upright_mean,upright_std,bone_std_mean,bone_std_std,runtime_s_mean,runtime_s_std,collapse_rate
System1,latent_dim,128,3,264.78590006078764,50.573243715951286,,,,,,,,,8.578648291600977,4.985048844862105,100.0,0.0,3.7194202074041245,1.8420520605082336,12.218519083301848,1.2747900933426555,
System1,latent_dim,256,3,270.98452347017434,54.8011007456198,,,,,,,,,7.549725939308176,2.862185590626818,100.0,0.0,5.505575761201974,1.6420311532147138,12.257150555650393,0.47282374447848186,
System1,mutation_rate,0.1,3,263.8341058733302,48.34657744107325,,,,,,,,,8.122988827378968,4.659240337201853,100.0,0.0,3.865584694671795,1.980433260096227,11.3560782080361,0.39587675919889054,
System1,mutation_rate,0.15,3,264.78590006078764,50.573243715951286,,,,,,,,,8.578648291600977,4.985048844862105,100.0,0.0,3.7194202074041245,1.8420520605082336,11.411044485983439,0.22306274627128023,
System1,mutation_rate,0.2,3,284.5041222520218,0.3444521103435599,,,,,,,,,10.9900928779957,0.6860738633910165,100.0,0.0,4.085029747148055,0.8576847358946125,11.446155180688947,0.5348622011131825,
System1,mutation_strength,0.05,3,264.78590006078764,50.573243715951286,,,,,,,,,8.578648291600977,4.985048844862105,100.0,0.0,3.7194202074041245,1.8420520605082336,11.570709402983388,0.08320583605231804,
System1,mutation_strength,0.1,3,264.78590006078764,50.573243715951286,,,,,,,,,8.578648291600977,4.985048844862105,100.0,0.0,3.7194202074041245,1.8420520605082336,11.148728736016588,0.26980266281461185,
System1,mutation_strength,0.15,3,264.78590006078764,50.573243715951286,,,,,,,,,8.578648291600977,4.985048844862105,100.0,0.0,3.7194202074041245,1.8420520605082336,11.377025874952475,0.023299258845008303,
System1,num_generations,100,3,264.78590006078764,50.573243715951286,,,,,,,,,8.578648291600977,4.985048844862105,100.0,0.0,3.7194202074041245,1.8420520605082336,11.37618191629493,0.35826262310481505,
System1,num_generations,50,3,264.74032208559896,50.558731057695155,,,,,,,,,8.568149799390051,4.808827074146717,100.0,0.0,3.761922754438464,1.819371116427785,6.858738055685535,0.3296158208461904,
System1,num_generations,75,3,264.7641474563354,50.548191514027614,,,,,,,,,8.622327702893761,4.990518941574129,100.0,0.0,3.7270389977715666,1.8404078522222937,8.905929027629705,0.2965504761241085,
