system,parameter,value,seed,clip_idx,ga_best_fitness,critic_score,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,runtime_s,collapse
System1,latent_dim,128,0,-1,207.59470845051317,,,,,4.8105830989736535,100.0,2.6305615131712328,10.746452041028533,
System1,latent_dim,128,1,-1,208.51383864647218,,,,,2.9723227070556506,100.0,3.8594717570162986,10.734370291989762,
System1,latent_dim,128,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,10.716071958013345,
System1,latent_dim,256,0,-1,207.5975757887344,,,,,4.804848422531215,100.0,3.7525557694646383,11.032452040992212,
System1,latent_dim,256,1,-1,264.81548189391503,,,,,10.369036212169899,100.0,2.7774268117643386,10.679140667023603,
System1,latent_dim,256,2,-1,281.9262463033791,,,,,12.749599895080948,100.0,3.807436568583126,11.055478458001744,
System1,mutation_rate,0.1,0,-1,208.25389244795213,,,,,3.492215104095778,100.0,2.253443235717636,10.646977916941978,
System1,mutation_rate,0.1,1,-1,306.4477510464224,,,,,7.104497907155192,100.0,4.5408581656096825,11.004341083986219,
System1,mutation_rate,0.1,2,-1,283.98282612718396,,,,,12.034347745632115,100.0,3.8860367173298935,10.654456041986123,
System1,mutation_rate,0.15,0,-1,207.59470845051317,,,,,4.8105830989736535,100.0,2.6305615131712328,10.84117495798273,
System1,mutation_rate,0.15,1,-1,208.51383864647218,,,,,2.9723227070556506,100.0,3.8594717570162986,10.66487016697647,
System1,mutation_rate,0.15,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,10.820693540968932,
System1,mutation_rate,0.2,0,-1,208.2292747780396,,,,,3.5414504439207803,100.0,3.260337931149539,10.700954583007842,
System1,mutation_rate,0.2,1,-1,284.26099248833697,,,,,11.459173671776428,100.0,5.317935856850645,10.875436958041973,
System1,mutation_rate,0.2,2,-1,263.20487879482187,,,,,13.590242410356277,100.0,3.1717867045816295,10.606520916044246,
System1,mutation_strength,0.05,0,-1,207.59470845051317,,,,,4.8105830989736535,100.0,2.6305615131712328,10.962480291025713,
System1,mutation_strength,0.05,1,-1,208.51383864647218,,,,,2.9723227070556506,100.0,3.8594717570162986,10.689605374995153,
System1,mutation_strength,0.05,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,10.857077541993931,
System1,mutation_strength,0.1,0,-1,207.59470845051317,,,,,4.8105830989736535,100.0,2.6305615131712328,10.696567707986105,
System1,mutation_strength,0.1,1,-1,208.51383864647218,,,,,2.9723227070556506,100.0,3.8594717570162986,10.879916624980979,
System1,mutation_strength,0.1,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,10.620163583022077,
System1,mutation_strength,0.15,0,-1,207.59470845051317,,,,,4.8105830989736535,100.0,2.6305615131712328,10.790693124989048,
System1,mutation_strength,0.15,1,-1,208.51383864647218,,,,,2.9723227070556506,100.0,3.8594717570162986,10.717722582980059,
System1,mutation_strength,0.15,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,10.780463040980976,
System1,num_generations,50,0,-1,207.572089045633,,,,,4.855821908734036,100.0,2.643042114805239,6.635283958981745,
System1,num_generations,50,1,-1,208.38607741568072,,,,,3.2278451686385665,100.0,3.9279378485492185,6.595076915982645,
System1,num_generations,50,2,-1,284.16403728625755,,,,,11.671925427484963,100.0,4.4020686141159455,7.811684707994573,
System1,num_generations,75,0,-1,207.572089045633,,,,,4.855821908734036,100.0,2.643042114805239,8.630443666013889,
System1,num_generations,75,1,-1,208.42139329328896,,,,,3.157213413422069,100.0,3.8487423259005653,8.637229916988872,
System1,num_generations,75,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,8.851611541002057,
System1,num_generations,100,0,-1,207.59470845051317,,,,,4.8105830989736535,100.0,2.6305615131712328,10.993554625019897,
System1,num_generations,100,1,-1,208.51383864647218,,,,,2.9723227070556506,100.0,3.8594717570162986,10.58246666699415,
System1,num_generations,100,2,-1,284.16456536475766,,,,,11.670869270484733,100.0,4.401787818142647,10.608196624962147,
System2,guidance_scale,1.0,0,0,,0.8787667155265808,1200.6434326171875,0.8780354114710902,0.05123328447341924,10.906375885009766,36.666666666666664,9.260843276977539,3.9160222909995355,1
System2,guidance_scale,1.0,1,0,,0.13271929323673248,783.6737060546875,0.13255015376868018,0.7972807067632676,2.0807251930236816,100.0,4.2383809089660645,9.165104374988005,1
System2,guidance_scale,1.0,2,0,,0.13893330097198486,533.7236938476562,0.13867347837094715,0.7910666990280152,2.444871425628662,100.0,2.8724617958068848,11.096724333998282,1
System2,guidance_scale,1.0,0,1,,0.8753154873847961,1196.958740234375,0.8745848149016907,0.054684512615203906,11.248778343200684,36.666666666666664,9.278209686279297,3.5229953749803826,1
System2,guidance_scale,1.0,1,1,,0.13225288689136505,782.4808959960938,0.13208408521723713,0.797747113108635,2.065821647644043,100.0,4.21690034866333,9.393475916993339,1
System2,guidance_scale,1.0,2,1,,0.13265973329544067,592.1278076171875,0.1324360720008735,0.7973402667045594,1.2636237144470215,100.0,2.6280698776245117,9.954605499980971,1
System2,guidance_scale,1.0,0,2,,0.8801937103271484,1213.2264404296875,0.8794688095335076,0.04980628967285161,11.609413146972656,35.0,9.229941368103027,3.4974406250403263,0
System2,guidance_scale,1.0,1,2,,0.13093991577625275,740.7715454101562,0.13076339253727645,0.7990600842237473,2.177899122238159,100.0,4.597963333129883,10.03329799999483,1
System2,guidance_scale,1.0,2,2,,0.13250021636486053,651.4032592773438,0.13229712078788314,0.7974997836351395,1.0938738584518433,100.0,3.453934907913208,9.380634333996568,1
System2,guidance_scale,2.0,0,0,,0.8793923258781433,1181.8043212890625,0.8786488450588309,0.05060767412185674,10.604931831359863,36.666666666666664,9.191873550415039,2.8112459590192884,1
