system,parameter,recommended_value,selection_basis,ga_best_fitness_mean,critic_score_mean,novelty_dist_aist_mean,novelty_score_mean,target_dist_mean,smoothness_mean,runtime_s_mean,collapse_rate
System1,latent_dim,256,see summary metrics,270.98452347017434,,,,,7.549725939308176,12.257150555650393,
System1,mutation_rate,0.2,see summary metrics,284.5041222520218,,,,,10.9900928779957,11.446155180688947,
System1,mutation_strength,0.1,see summary metrics,264.78590006078764,,,,,8.578648291600977,11.148728736016588,
System1,num_generations,100,see summary metrics,264.78590006078764,,,,,8.578648291600977,11.37618191629493,
System2,ddim_steps,200,see summary metrics,,0.9019271731376648,888.3418307834202,0.900897341753354,0.028982289367251963,4.733454174465603,10.724992338011766,0.0
System2,guidance_scale,3.0,see summary metrics,,0.7488496287001504,855.1386990017361,0.7479607338639579,0.18115037129984968,4.572296831342909,6.82024475456112,0.5555555555555556
System2,retry_attempts,3,see summary metrics,,0.9042103025648329,811.2664523654514,0.9030498308968625,0.026343227492438462,2.2595460282431707,19.172076203666318,0.0
System2,target_realism,0.9,see summary metrics,,0.8862235148747762,1193.5833943684895,0.8852540137660511,0.02549448543124729,9.671764135360718,5.448791977031053,0.4444444444444444
