variant,n_runs,critic_score_mean,critic_score_std,fgd_mean,fgd_std,bas_mean,bas_std,novelty_dist_aist_mean,novelty_dist_aist_std,novelty_score_mean,novelty_score_std,target_dist_mean,target_dist_std,smoothness_mean,smoothness_std,upright_mean,upright_std,bone_std_mean,bone_std_std,diversity_pairwise_mse,runtime_s_mean,runtime_s_std,collapse_rate
A0,5,,,872.6911222480554,48.3686219683693,,,595.316015625,59.46369606382178,0.9983103790324697,0.00015933896907963042,,,6.807278733449555,3.5410224874143648,100.0,0.0,4.691678242620141,0.9808416777670672,2060.3596759946945,10.799617499986198,0.07306675829145123,
A1,5,,,943.6376477534045,183.86116508525464,,,583.2756500244141,47.93370449883244,0.9982798269785182,0.00013210757139585434,,,5.387858172166304,2.340478722828841,100.0,0.0,3.705604156649777,1.0825253876574845,1891.5499550422708,10.817095225001685,0.10296104245416976,
A2,15,0.9150297671556473,0.008260051889651794,632.8144018195535,658.7225030681465,,,926.9815633138021,200.66155638361815,0.9140094452126934,0.008239390744596377,0.014970232844352772,0.008260051889651794,8.489229488372803,1.237840618184482,96.38888888888889,7.475710226208838,7.36896162033081,1.186337973615145,4681.464864676339,77.68032241913025,13.231386965821878,0.0
A3,15,0.0901765417928497,0.014880689423283088,469.07130554716673,247.36060028394851,0.17113764116622343,0.11067985876787931,691.8044270833333,76.38485648450417,0.09004617807749274,0.014868224213011842,,,8.316304111480713,3.8187834742535225,96.72839506172839,6.773619111411843,6.782535743713379,2.187965048547055,4581.037626004219,9.716344696997355,0.47650583344145453,1.0
A4,15,0.9138775368531545,0.006996196430679171,721.8991670679485,533.2873114439694,0.17939401868434238,0.11044224432501847,951.7882785373264,177.21767252689537,0.9128912498257342,0.00704302968684641,0.01612246314684555,0.006996196430679171,9.154540252685546,4.005164460484892,96.11111111111111,8.834156894821827,8.07695951461792,2.742676863342607,9959.896877325149,71.59944013886852,18.535301632802913,0.0
A5,15,0.8040474036087593,0.10312610533869676,2640.941904650015,4837.994992342554,0.11334885717945545,0.07549360260393675,1576.6423583984374,1344.4718439748842,0.8033295660701545,0.1029007540834929,0.12595259639124082,0.10312610533869676,32.28499828974406,43.71561543142129,88.51851851851852,11.826868923440214,18.743262894948323,22.326425402437803,17608.877347383044,38.05865688886261,10.884312362326895,0.7333333333333333
A6_080,15,0.797457954287529,0.010797942123934286,1382.3653845333708,2144.5183304757406,0.16493665431956323,0.09125278396337569,1218.2509372287327,619.8763055270554,0.7967179839224402,0.010827519734435598,0.009028785427411413,0.0060147628454407295,12.4834454536438,11.508417318585963,91.9753086419753,11.206691338646026,9.004767036437988,3.460961246367126,7133.6590256463915,59.74232679992759,23.898010431963762,1.0
A6_090,15,0.8885241816441218,0.00821072782201834,1679.227506141852,1894.0379651209237,0.12518045963222849,0.06949552830973842,1237.158308919271,496.48324109374727,0.8877336890373183,0.008268179249730367,0.011760979692141234,0.007766370605805234,14.250310198465984,13.566297399837365,88.11728395061728,10.71503415854318,11.514404328664144,11.926905910599618,6765.843831380208,61.24979340826782,16.635207916103568,0.7333333333333333
A6_093,15,0.9138775368531545,0.006996196430679171,721.8991670679485,533.2873114439694,0.17939401868434238,0.11044224432501847,951.7882785373264,177.21767252689537,0.9128912498257342,0.00704302968684641,0.01612246314684555,0.006996196430679171,9.154540252685546,4.005164460484892,96.11111111111111,8.834156894821827,8.07695951461792,2.742676863342607,9959.896877325149,70.52653377500052,16.403025176498687,0.0
A7_000,15,0.9138775368531545,0.006996196430679171,721.8991670679485,533.2873114439694,0.17939401868434238,0.11044224432501847,951.7882785373264,177.21767252689537,0.9138775368531545,0.006996196430679171,0.01612246314684555,0.006996196430679171,9.154540252685546,4.005164460484892,96.11111111111111,8.834156894821827,8.07695951461792,2.742676863342607,9959.896877325149,71.11924110554004,16.636831929965478,0.0
A7_050,15,0.9138775368531545,0.006996196430679171,721.8991670679485,533.2873114439694,0.17939401868434238,0.11044224432501847,951.7882785373264,177.21767252689537,0.9133843933394443,0.007019198506850509,0.01612246314684555,0.006996196430679171,9.154540252685546,4.005164460484892,96.11111111111111,8.834156894821827,8.07695951461792,2.742676863342607,9959.896877325149,70.32592624712657,16.25565631432384,0.0
A7_100,15,0.9138775368531545,0.006996196430679171,721.8991670679485,533.2873114439694,0.17939401868434238,0.11044224432501847,951.7882785373264,177.21767252689537,0.9128912498257342,0.00704302968684641,0.01612246314684555,0.006996196430679171,9.154540252685546,4.005164460484892,96.11111111111111,8.834156894821827,8.07695951461792,2.742676863342607,9959.896877325149,71.1044973556806,16.620454038512953,0.0
