variant,seed,clip_idx,critic_score,fgd,bas,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,diversity_proxy,runtime_s,collapse
A0,0,-1,,872.0496439160020,,691.4499359130860,0.9985558522744590,,9.468829147128930,100.0,4.746239817234290,,10.912805749976500,
A0,1,-1,,931.2390493738160,,596.2256774902340,0.9983255910827510,,4.07501207995239,100.0,3.596697123322440,,10.787150749994900,
A0,2,-1,,909.7010495387250,,573.9362335205080,0.9982606766773480,,1.9880777421988500,100.0,3.8458352577942400,,10.812861624988700,
A0,3,-1,,819.9637237931950,,585.60498046875,0.9982952752988890,,9.713694767228060,100.0,5.359312274864330,,10.713321582996300,
A0,4,-1,,830.5021446185390,,529.3632507324220,0.9981144998289020,,8.790779930739550,100.0,5.910306739885410,,10.771947791974500,
A1,0,-1,,972.055797960759,,535.5778884887700,0.9981363376660630,,4.352396908921160,100.0,2.8928924880599300,,10.814989292004600,
A1,1,-1,,987.3962115490570,,580.1295013427730,0.9982792131569820,,5.465217726479390,100.0,3.1973653107658000,,10.92369308299390,
A1,2,-1,,664.1380666197130,,663.5313949584960,0.9984951802012870,,9.246673781726940,100.0,5.264041095822880,,10.756295500032100,
A1,3,-1,,919.0690000823010,,564.565185546875,0.9982318572190170,,4.869077736287230,100.0,4.396710400874290,,10.910108291020200,
A1,4,-1,,1175.5291625551900,,572.5742797851560,0.998256546649242,,3.0059247074167900,100.0,2.777011487725980,,10.680389958957700,
A2,0,0,0.9264239072799680,369.07058250695100,,850.276123046875,0.9253356306536200,0.003576092720031790,8.968762397766110,100.0,5.884566307067870,,80.2711675420287,0
A2,1,0,0.9130863100290300,1904.187183221760,,1312.793965657550,0.9123913104066410,0.016913689970970200,10.491719245910600,81.94444444444440,9.242265701293950,,73.90394716599260,0
A2,2,0,0.910382017493248,315.45291593840500,,853.6014607747400,0.9093167466514830,0.019617982506752100,7.518253326416020,100.0,7.812510967254640,,70.45330141700110,0
